module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs,keywords
bam,bmad-bam-master-architecture,Master Architecture,ZM,Create master architecture with tenant model and foundation design,run,,3-solutioning,,,true,{output_folder}/planning-artifacts,master-architecture.md,"architecture,master,tenant,foundation,design"
bam,bmad-bam-module-architecture,Module Architecture,ZB,Design module boundaries and responsibilities,run,,3-solutioning,bmad-bam-master-architecture,,true,{output_folder}/planning-artifacts,module-architecture.md,"module,boundaries,design,modular,monolith"
bam,bmad-bam-tenant-isolation,Tenant Isolation,ZT,Design tenant isolation model - RLS/Schema/Database,run,,3-solutioning,bmad-bam-master-architecture,,true,{output_folder}/planning-artifacts,tenant-isolation.md,"tenant,isolation,rls,security,multi-tenant"
bam,bmad-bam-agent-runtime,Agent Runtime,ZR,Configure AI runtime with LangGraph/CrewAI/AutoGen,run,,3-solutioning,bmad-bam-tenant-isolation,,true,{output_folder}/planning-artifacts,agent-runtime.md,"ai,runtime,langgraph,crewai,agent"
bam,bmad-bam-facade-contract,Facade Contract,ZF,Define module integration contracts,run,,3-solutioning,bmad-bam-module-architecture,,true,{output_folder}/planning-artifacts,facade-contract.md,"facade,contract,integration,api,interface"
bam,bmad-bam-convergence,Convergence Verification,ZC,Verify integration safety for QG-I2/I3,run,,4-implementation,bmad-bam-facade-contract,,true,{output_folder}/planning-artifacts,convergence-report.md,"convergence,verification,integration,safety,quality"
bam,bmad-bam-production-readiness,Production Readiness,ZP,Final production validation for QG-P1,run,,4-implementation,bmad-bam-convergence,,true,{output_folder}/planning-artifacts,production-readiness.md,"production,readiness,deployment,validation,release"
bam,bmad-bam-requirements,Requirements Ingestion,ZWR,Ingest and analyze project requirements,run,,2-planning,,,false,{output_folder}/planning-artifacts,requirements.md,"requirements,ingestion,analysis,planning,prd"
bam,bmad-bam-triage,Module Triage,ZWT,Triage module complexity and prioritization,run,,2-planning,bmad-bam-requirements,,false,{output_folder}/planning-artifacts,triage-report.md,"triage,complexity,priority,modules,assessment"
bam,bmad-bam-module-epics,Module Epics,ZWE,Create epics for module implementation,run,,2-planning,bmad-bam-triage,,false,{output_folder}/planning-artifacts,module-epics.md,"epics,module,stories,planning,backlog"
