pattern_id,name,category,decision_criteria,signals,intent,variants,decision_questions,web_queries,verification_gate,dependencies,conflicts,skill_level_notes,related_fragments,core_pattern_ref,domain_ref,shortcode
tenant-isolation,Tenant Isolation,security,"Use when implementing prevent cross-tenant data access with signals: shared data,multi-tenant,customer separation","shared data,multi-tenant,customer separation",Prevent cross-tenant data access,row-level-security;schema-per-tenant;database-per-tenant,What compliance requirements apply?;How many tenants expected?;What isolation level required?,multi-tenant isolation patterns {date};PostgreSQL RLS best practices {date},QG-M2,database;security,,Basic: RLS with tenant_id column;Advanced: Schema isolation with connection pooling,rls-best-practices;multi-tenant-patterns;testing-tenant-isolation,tenant-isolation.md,tenant.md,ZTI
agent-runtime,Agent Runtime,ai,Use for AI/agent workloads requiring design agent execution framework,"LLM agents,orchestration,multi-step",Design agent execution framework,langgraph;crewai;autogen;custom,What orchestration complexity needed?;Human-in-the-loop required?;State persistence needs?,LangGraph agent patterns {date};agent orchestration best practices {date},QG-M3,tenant-isolation,,Basic: Single agent with tools;Advanced: Hierarchical multi-agent,agent-runtime-patterns;run-contracts;memory-tiers,langgraph.md;agent-orchestration.md,ai-runtime.md,ZAR
module-boundaries,Module Boundaries,architecture,Use when: define module separation,"modular monolith,bounded context,DDD",Define module separation,vertical-slice;feature-module;domain-module,What bounded contexts exist?;What are module dependencies?;Cross-module communication patterns?,modular monolith patterns {date};bounded context design {date},QG-M1,api-design;domain-modeling,,Basic: Feature folders;Advanced: Event-driven boundaries,modular-monolith-patterns;ddd-module-patterns;module-facade-patterns
memory-tiers,Memory Tiers,ai,Use for AI/agent workloads requiring hierarchical memory for agents,"agent memory,context,persistence",Hierarchical memory for agents,working;episodic;semantic;procedural;collective,What memory persistence needed?;Cross-session requirements?;Tenant isolation for memory?,AI agent memory architecture {date};LangGraph memory patterns {date},QG-M3,ai-runtime,,Basic: Working memory only;Advanced: Full 5-tier hierarchy,memory-tiers;context-compiler-patterns
tool-execution,Tool Execution,ai,Use for AI/agent workloads requiring govern agent tool usage,"agent tools,function calling,MCP",Govern agent tool usage,direct;sandboxed;approval-required;tenant-scoped,What tools does agent need?;Approval workflow required?;Tenant-specific tools?,agent tool execution patterns {date};MCP tool patterns {date},QG-M3,ai-runtime,,Basic: Direct execution;Advanced: TBAC with approval workflows,tool-execution-middleware;action-gateway-patterns;agent-identity-tbac-patterns
run-contracts,Run Contracts,ai,Use for AI/agent workloads requiring control agent execution scope,"agent scope,budget,guardrails",Control agent execution scope,time-limited;token-limited;cost-limited;action-limited,What execution limits needed?;Budget enforcement required?;Fallback behavior?,AI agent run contracts {date};agent budget enforcement {date},QG-M3,ai-runtime,,Basic: Token limits;Advanced: Full budget with circuit breakers,run-contracts;agent-resilience-patterns
event-driven,Event-Driven Architecture,integration,"Use when integrating modules with async, messaging, decoupling","async,messaging,decoupling",Cross-module communication,domain-events;integration-events;saga-orchestration,What events cross module boundaries?;Eventual consistency acceptable?;Saga patterns needed?,event-driven architecture patterns {date};saga orchestration {date},QG-I1,module-boundaries,,Basic: Domain events;Advanced: Saga with compensation,event-driven-patterns;saga-orchestration-patterns
facade-contracts,Facade Contracts,integration,"Use when integrating modules with API, module interface, versioning","API,module interface,versioning",Module public interfaces,REST;GraphQL;gRPC;async,What interface stability needed?;Breaking change strategy?;Multi-version support?,API versioning patterns {date};facade design patterns {date},QG-I1,module-boundaries,,Basic: REST with versioning;Advanced: Multi-protocol facade,module-facade-patterns;api-version-routing
tenant-lifecycle,Tenant Lifecycle,tenant,Use for tenant management: manage tenant state changes,"onboarding,offboarding,provisioning",Manage tenant state changes,self-service;assisted;enterprise,What provisioning automation needed?;Data retention requirements?;Offboarding compliance?,tenant lifecycle management {date};SaaS onboarding patterns {date},QG-P1,tenant-isolation,,Basic: Manual provisioning;Advanced: Full self-service,tenant-onboarding-patterns;tenant-offboarding-patterns
observability,Observability Stack,operations,Use for operational concerns: tenant-aware telemetry,"monitoring,tracing,logging",Tenant-aware telemetry,metrics;traces;logs;alerts,What SLOs needed?;Tenant-scoped dashboards?;Cost attribution?,tenant-aware observability {date};multi-tenant monitoring {date},QG-P1,tenant-isolation,,Basic: Shared dashboards;Advanced: Per-tenant telemetry,observability;audit-logging-patterns
usage-metering,Usage Metering,monetization,Use for billing/metering: track resource usage,"billing,quotas,limits",Track resource usage,request-based;storage-based;compute-based;feature-based,What usage dimensions to track?;Real-time or batch metering?;Overage handling?,usage-based billing patterns {date};SaaS metering {date},QG-P1,tenant-isolation,,Basic: API request counting;Advanced: Multi-dimensional metering,usage-metering;billing-integration-patterns
compliance,Compliance Framework,security,"Use when implementing meet regulatory requirements with signals: GDPR,SOC2,HIPAA,regulations","GDPR,SOC2,HIPAA,regulations",Meet regulatory requirements,data-residency;audit-logging;encryption;retention,What regulations apply?;Data residency requirements?;Audit trail depth?,SaaS compliance patterns {date};data sovereignty {date},QG-P1,tenant-isolation,,Basic: Audit logging;Advanced: Full compliance framework,sso-integration-patterns;data-sovereignty-patterns;encryption-patterns
