section_name,patterns,workflows,checklists,web_research_level,description,web_queries
foundation,"tenant-isolation,agent-runtime,module-boundaries","create-master-architecture,scaffold-foundation,validate-foundation",foundation-gate.md,WEB_REQUIRED,Core architecture decisions and scaffolding for multi-tenant AI SaaS,"multi-tenant SaaS foundation architecture {date};platform architecture patterns {date};modular monolith design patterns {date}"
tenant-isolation,"tenant-isolation,testing-isolation","tenant-model-isolation,tenant-onboarding-design,tenant-offboarding-design,tenant-suspension-design,tenant-tier-migration,tenant-portal-design,tenant-hierarchy-design,tenant-api-key-management",tenant-isolation.md,WEB_OPTIONAL,Tenant data separation and isolation verification,"tenant isolation patterns {date};RLS best practices {date};PostgreSQL row level security multi-tenant {date}"
agent-runtime,"agent-runtime,memory-tiers,tool-execution,run-contracts,llmops","agent-runtime-architecture,ai-eval-safety-design,ai-agent-debug,ai-security-testing,prompt-versioning-management,rag-pipeline-design,llm-evaluation-pipeline,agent-handoff-design,llm-gateway-configuration","qg-m3-agent-runtime.md,qg-m3-tools.md",WEB_REQUIRED,AI agent orchestration and safety controls,"AI agent orchestration patterns {date};LLM runtime architecture {date};LangGraph state management {date};agent memory tier patterns {date}"
module-design,"module-boundaries,facade-contracts,event-driven","module-boundary-design,internal-contract-design,convergence-verification,create-module-architecture,create-module-epics",module-architecture.md,NO_WEB,Modular monolith boundaries and contracts,"modular monolith boundary patterns {date};facade contract design {date};event-driven architecture patterns {date}"
integration,"facade-contracts,event-driven","convergence-verification,api-version-release,cross-module-story,define-facade-contract,evolve-facade-contract,facade-mismatch-recovery,validate-tool-contract",qg-i1-convergence.md,NO_WEB,Cross-module integration and contract alignment,"cross-module integration patterns {date};API versioning strategies {date};contract-first design {date}"
observability,"observability,llm-observability,distributed-tracing","tenant-aware-observability,tenant-health-monitoring,tenant-sla-monitoring",,WEB_OPTIONAL,Tenant-aware monitoring and telemetry,"multi-tenant observability patterns {date};tenant-aware monitoring {date};OpenTelemetry multi-tenant {date}"
metering,"usage-metering,quota-management,cost-tracking","usage-metering-design,tenant-capacity-planning,tenant-cost-attribution",,WEB_OPTIONAL,Usage tracking and billing integration,"SaaS usage metering patterns {date};quota management best practices {date};subscription billing architecture {date}"
compliance,"compliance,data-residency,audit-immutability","compliance-design,compliance-continuous-verification,tenant-data-anonymization,tenant-audit-log-design,soc2-evidence-collection",,WEB_REQUIRED,Regulatory compliance and audit requirements,"SaaS compliance frameworks {date};data residency requirements {date};GDPR SOC2 multi-tenant {date}"
operations,"deployment,disaster-recovery,rate-limiting,performance-isolation,experimentation","disaster-recovery-design,master-architecture-emergency-change,multi-region-architecture,tenant-backup-restore,tenant-feature-rollout",production-readiness.md,WEB_OPTIONAL,Production operations and business continuity,"SaaS disaster recovery patterns {date};multi-tenant rate limiting {date};feature flag experimentation {date}"
testing,"testing-isolation,testing-agent-safety","ai-security-testing,convergence-verification","qg-i2-tenant-safety.md,qg-i3-agent-safety.md",NO_WEB,Testing strategies for isolation and safety,"tenant isolation testing strategies {date};AI agent safety testing {date};multi-tenant test automation {date}"
lifecycle,"tenant-lifecycle,tenant-sandbox","tenant-onboarding-design,tenant-offboarding-design,tenant-data-migration,tenant-data-export,tenant-sandbox-provisioning",,WEB_OPTIONAL,Tenant provisioning and deprovisioning,"tenant onboarding automation {date};tenant offboarding data retention {date};tenant data migration patterns {date}"
module,"module-boundaries,facade-contracts,customization","create-module-architecture,create-module-epics,validate-module,triage-module-complexity",module-architecture.md,WEB_OPTIONAL,Module design and validation workflows,"module architecture validation {date};modular monolith customization patterns {date};domain-driven module design {date}"
integration-contracts,"facade-contracts,event-driven,tool-execution","define-facade-contract,evolve-facade-contract,facade-mismatch-recovery,validate-tool-contract",qg-i1-convergence.md,WEB_OPTIONAL,Facade contract definition and tool contract validation,"facade contract patterns {date};API contract evolution {date};tool contract validation {date}"
security,"compliance,tenant-isolation,encryption-key-management,api-security","security-review,tenant-incident-response,tenant-api-key-management,penetration-testing-design","qg-i2-tenant-safety.md,production-readiness.md",WEB_REQUIRED,Security review and incident response workflows,"multi-tenant security patterns {date};encryption key management SaaS {date};tenant incident response {date}"
utility,"local-dev,deployment","bam-extend-project-context,bam-migrate-v2,bam-validate-patterns,list-tools",,NO_WEB,BAM utility and maintenance workflows,"local development environment SaaS {date};deployment automation patterns {date}"
tenant,"tenant-lifecycle,tenant-routing,tenant-context-propagation","tenant-requirements-analysis,tenant-tier-migration,tenant-hierarchy-design,tenant-model-isolation",,WEB_OPTIONAL,Tenant analysis and tier migration workflows,"tenant routing patterns {date};tenant context propagation {date};SaaS tier migration strategies {date}"
ingestion,"module-boundaries,tenant-isolation","requirement-ingestion,triage-module-complexity",,WEB_OPTIONAL,Requirements ingestion and analysis,"requirements ingestion patterns {date};multi-tenant requirement analysis {date}"
tenant-hierarchy,"tenant-lifecycle,rbac,billing-integration","tenant-hierarchy-design,tenant-requirements-analysis",,WEB_OPTIONAL,Organization hierarchies and permission inheritance for enterprise tenants,"multi-tenant hierarchy patterns SaaS {date};tenant parent child relationship database design {date};permission inheritance enterprise multi-tenant {date};billing rollup hierarchy SaaS patterns {date}"
api-key-management,"api-security,secrets-management,encryption-key-management","tenant-api-key-management,security-review",,WEB_REQUIRED,API key lifecycle including scopes rotation and audit,"API key management best practices {date};API key rotation patterns SaaS {date};API key security multi-tenant {date};API key audit trail compliance {date}"
backup-recovery,"disaster-recovery,data-residency,data-encryption","tenant-backup-restore,disaster-recovery-design",production-readiness.md,WEB_OPTIONAL,Tenant backup planning with RPO and restore procedures,"multi-tenant backup strategies SaaS {date};point-in-time recovery best practices {date};backup retention policies compliance {date};tenant data isolation backup patterns {date}"
tenant-health,"health-scoring,tenant-analytics,observability","tenant-health-monitoring,tenant-sla-monitoring",,WEB_OPTIONAL,Tenant health assessment and scoring algorithms,"customer health score SaaS best practices {date};tenant health monitoring multi-tenant {date};churn prediction metrics SaaS {date};customer success health scoring algorithms {date}"
sla-reporting,"observability,usage-metering,billing-integration","tenant-sla-monitoring,tenant-aware-observability",production-readiness.md,WEB_OPTIONAL,SLA performance reporting with breach handling,"SLA reporting best practices SaaS {date};SLA breach handling procedures {date};service level agreement metrics calculation {date};SLA credit calculation multi-tenant {date}"
ai-security,"ai-safety,ai-testing,run-contracts","ai-security-testing,ai-eval-safety-design","qg-m3-agent-runtime.md,qg-i3-agent-safety.md",WEB_REQUIRED,AI security testing including prompt injection and guardrails,"prompt injection testing best practices {date};LLM security guardrails validation {date};AI agent security testing framework {date};multi-tenant AI security patterns {date};OWASP LLM security {date}"
model-governance,"model-versioning,model-fine-tuning,llmops","ai-eval-safety-design,compliance-design",,WEB_REQUIRED,AI model governance including provenance and version history,"AI model governance best practices {date};model provenance tracking ML {date};EU AI Act compliance documentation {date};ML model version management patterns {date}"
