model,signals,when_to_use,when_not_to_use,compliance_fit,complexity,storage_overhead,isolation_strength,query_performance,migration_complexity,web_queries
row-level-security,"shared tables,cost-sensitive,<1000 tenants,startup,rapid scaling",Moderate compliance requirements;Cost optimization priority;Shared infrastructure acceptable;Rapid tenant onboarding needed,Strict physical separation required;Enterprise customers demanding isolation;Regulated industries with audit requirements,SOC2;GDPR;basic-compliance,low,1x,logical,excellent-with-indexes,low,PostgreSQL RLS multi-tenant best practices {date};row level security patterns {date}
schema-per-tenant,"regulatory,customization needs,100-1000 tenants,mid-market",Per-tenant schema customization needed;Regulated industries with moderate requirements;Mid-market enterprise customers;Need balance of isolation and cost,Large tenant count expected;Cost is primary concern;No customization needed,HIPAA;SOX;PCI-DSS;moderate-compliance,medium,2-3x,schema,good,medium,PostgreSQL schema per tenant patterns {date};schema isolation multi-tenant {date}
database-per-tenant,"maximum isolation,enterprise tier,<100 tenants,high-value customers",Maximum isolation required;Enterprise tier customers;Strict compliance requirements;Customer-managed keys needed,Cost sensitive deployments;Large number of tenants;Rapid scaling required,FedRAMP;HIPAA;SOX;PCI-DSS;GDPR;all-compliance,high,10-20x,physical,tenant-specific-tuning,high,database per tenant architecture patterns {date};dedicated database multi-tenant {date}
hybrid,"mixed tiers,enterprise+self-serve,variable isolation",Mixed customer base with different needs;Enterprise tier needs isolation while others share;Gradual migration path needed,Simple uniform requirements;Single customer segment,variable-by-tier,variable,variable,variable,variable,highest,hybrid multi-tenant isolation patterns {date};tiered tenant isolation {date}
namespace-per-tenant,"Kubernetes,namespace isolation,container orchestration",Kubernetes-native deployments;Container isolation needed;Moderate isolation requirements;Cloud-native architecture,Non-Kubernetes environments;Extreme isolation needed;Legacy infrastructure,HIPAA;SOC2;moderate-compliance,medium,3-5x,namespace,good-with-resource-quotas,medium,{date} namespace per tenant Kubernetes;{date} K8s multi-tenant isolation
region-pinned,"data residency,regional compliance,geographic requirements",Data residency requirements;Regional compliance mandates;Geographic customer distribution;GDPR regional requirements,Global data access needed;Cost-sensitive deployments;Small tenant count,GDPR;FedRAMP;all-compliance,high,5-10x,regional,region-optimized,high,{date} region pinned SaaS;{date} data residency tenant deployment
shard-per-tenant,"horizontal scaling,very high data volume,sharding",Very high data volumes per tenant;Horizontal scaling required;Need independent scaling per tenant;High-throughput workloads,Small tenant count;Simple queries;Cost-sensitive deployments,SOC2;GDPR;HIPAA,high,10-15x,shard,shard-optimized,high,shard per tenant database patterns {date}
cell-based-isolation,"blast radius,fault isolation,cell architecture",Fault isolation critical;Blast radius reduction needed;Independent failure domains required;High availability mandates,Simple deployments;Low tenant count;Cost optimization priority,FedRAMP;HIPAA,very-high,15-20x,cell,cell-optimized,very-high,cell-based architecture multi-tenant {date}
polyglot-persistence,"mixed data types,specialized stores,multi-database",Mixed data type requirements;Specialized storage needs;Different consistency models;Optimized query patterns per use case,Simple data model;Single database sufficient;Operational simplicity required,variable-compliance,high,variable,logical-per-store,store-optimized,high,polyglot persistence multi-tenant {date}
logical-tenant-isolation,"shared compute,logical separation,resource efficiency",Cost efficiency priority;Shared infrastructure acceptable;Rapid tenant onboarding needed;Simple compliance requirements,Strict physical separation required;Regulated industries;Enterprise isolation needs,SOC2;basic,low,1x,logical,excellent,low,logical tenant isolation patterns {date}
hierarchical-tenant,"parent-child tenants,organization hierarchy,enterprise subsidiaries",Enterprise customers with subsidiaries;Parent-child tenant relationships;Organizational hierarchies;Permission inheritance needed,Flat tenant structure;Simple B2C SaaS;Single-level organizations,SOC2;GDPR;enterprise-compliance,medium,2-4x,hierarchical,good-with-proper-indexing,medium,hierarchical tenant patterns {date};parent-child tenant relationships SaaS {date};multi-level tenant architecture {date}
