gate_id,gate_name,phase,bmm_phase,required_patterns,verification_tests,blocking,checklist_file,pass_criteria,fail_recovery,dependencies,soft_gate_steps,entry_workflows,exit_workflows,web_queries,verification_owner
QG-D1,Discovery Gate,discovery,1-discovery,"discovery-patterns,requirements-patterns",stakeholders identified;requirements documented;scope defined;tenant context captured,true,qg-d1-discovery.md,All CRITICAL requirements documented;Stakeholder sign-off obtained;Scope finalized,Run tenant-requirements-analysis workflow,,"2,4",tenant-requirements-analysis,requirement-ingestion,SaaS discovery phase best practices {date};multi-tenant requirements gathering {date};AI product discovery patterns {date},BAM
QG-PL1,Planning Gate,planning,2-planning,"planning-patterns,agile-patterns",roadmap defined;resources allocated;risks documented;epics defined,true,qg-pl1-planning.md,Roadmap approved;Resources allocated;Risks documented;Epics defined,Run create-module-epics workflow,QG-D1,"2,4",requirement-ingestion,create-master-architecture,SaaS project planning best practices {date};multi-tenant capacity planning {date};AI project estimation {date},BAM
QG-F1,Foundation Gate,foundation,3-solutioning,"tenant-isolation,agent-runtime,module-boundaries",master-arch exists;tenant model selected;run-contract defined;module boundaries documented,true,qg-f1-foundation.md,All foundation artifacts exist;Tenant model decision documented;Agent runtime selected,Run create-master-architecture workflow,QG-PL1,"3,5,7",requirement-ingestion,create-module-architecture,quality gates SaaS architecture {date};foundation validation patterns {date},BAM
QG-M1,Module Architecture,module,3-solutioning,"module-boundaries,facade-contracts",bounded context defined;facade contract exists;module dependencies mapped,true,qg-m1-module-architecture.md,Module boundaries clear;Facade contracts defined;No circular dependencies,Run module-boundary-design workflow,QG-F1,"2,4",create-master-architecture,define-facade-contract,module architecture validation {date};bounded context design patterns {date};DDD module patterns {date},BAM
QG-M2,Tenant Isolation,module,3-solutioning,"tenant-isolation,testing-isolation",RLS policies defined;cross-tenant tests exist;tenant context propagation verified,true,qg-m2-tenant-isolation.md,RLS/schema isolation implemented;Cross-tenant access tests pass;Audit logging active,Run tenant-model-isolation workflow,QG-F1,"3,5",bmad-bam-tenant-model-isolation,bmad-bam-convergence-verification,tenant isolation testing {date};RLS validation {date},BAM
QG-M3,Agent Runtime,module,3-solutioning,"agent-runtime,tool-execution,run-contracts",tools registered;budget enforcement defined;kill switch specified;memory tiers configured,true,qg-m3-agent-runtime.md,Agent topology documented;Tool registry complete;Run contracts enforced;Kill switch <100ms,Run agent-runtime-architecture workflow,QG-F1,"4,6",bmad-bam-agent-runtime-architecture,bmad-bam-convergence-verification,AI agent safety gates {date};LLM guardrails validation {date},BAM
QG-I1,Convergence,integration,4-implementation,"facade-contracts,event-driven",contracts compatible across modules;no breaking changes;integration tests pass,true,qg-i1-convergence.md,All facade contracts compatible;Event schemas aligned;Integration tests green,Run convergence-verification workflow,"QG-M1,QG-M2,QG-M3",2,"bmad-bam-module-boundary-design,bmad-bam-tenant-model-isolation,bmad-bam-agent-runtime-architecture","bmad-bam-tenant-safety,bmad-bam-agent-safety",integration testing gates {date};contract testing patterns {date};multi-module integration {date},BAM
QG-I2,Tenant Safety,integration,4-implementation,"tenant-isolation,testing-isolation",integration isolation tests pass;cross-module tenant context verified;audit trail complete,true,qg-i2-tenant-safety.md,No cross-tenant data leakage;Tenant context propagates correctly;Audit events captured,Fix isolation gaps identified in tests,QG-I1,1,bmad-bam-convergence-verification,bmad-bam-production-readiness,tenant data leak prevention testing {date};cross-tenant security testing {date};isolation verification {date},TEA
QG-I3,Agent Safety,integration,4-implementation,"run-contracts,testing-agent-safety",safety tests pass;budget enforcement works;kill switch responsive;adversarial tests pass,true,qg-i3-agent-safety.md,All safety guardrails active;Budget limits enforced;Kill switch <100ms;No prompt injection vulnerabilities,Fix agent safety gaps,QG-I1,1,bmad-bam-convergence-verification,bmad-bam-production-readiness,AI safety validation enterprise {date};prompt injection testing {date};LLM guardrails patterns {date},TEA
QG-P1,Production Readiness,production,5-quality,"observability,disaster-recovery,compliance",SLOs defined;DR tested;audit logging verified;compliance checklist complete,true,qg-p1-production-readiness.md,SLOs meet targets;DR drill successful;Compliance audit passed;Runbooks complete,Address production readiness gaps,"QG-I1,QG-I2,QG-I3",N/A,"bmad-bam-tenant-safety,bmad-bam-agent-safety",bmad-bam-production-readiness,production readiness checklist SaaS {date};deployment gates best practices {date};multi-tenant production {date},BAM
QG-M3-T,Tool Contract Validation,validate-tool-contract,5-quality,"tool_schema_valid,permissions_defined,sandbox_configured,rate_limits_set","tool_schema_valid,permissions_defined",true,qg-m3-tools.md,Tool contracts validated against ToolDefinition schema,Run tool-execution-middleware workflow,QG-M3,"2,4",bmad-bam-agent-runtime-architecture,bmad-bam-convergence-verification,multi-tenant tool registration patterns {date};AI agent tool safety {date},BAM
QG-S1,Module Architecture Readiness,validate-module,5-quality,"architecture_complete,dependencies_mapped,facades_defined","architecture_complete,facades_defined",true,qg-m1-module-architecture.md,Module architecture ready for sprint,Run module-boundary-design workflow,QG-F1,"2,4",create-master-architecture,validate-module,module architecture readiness SaaS {date};modular monolith patterns {date},BAM
QG-S2,Module Implementation Readiness,validate-module,5-quality,"stories_defined,acceptance_criteria,test_plan","stories_defined,acceptance_criteria",true,qg-s1-module-readiness.md,Module ready for implementation sprint,Run create-module-epics workflow,QG-S1,"2,4",create-module-architecture,create-module-epics,sprint readiness checklist agile {date};story acceptance criteria patterns {date},BAM
QG-M1-R,Module Architecture Recovery,facade-mismatch-recovery,4-implementation,"root_cause_identified,recovery_path_selected,locked_categories",root_cause_identified,true,qg-s1-module-readiness.md,Recovery gate for failed QG-M1,Run module-architecture workflow,QG-M1,"2,4",facade-mismatch-recovery,validate-module,architecture recovery patterns {date};technical debt remediation {date},BAM
QG-R1,General Recovery Gate,facade-mismatch-recovery,4-implementation,"issue_classified,salvage_complete,recovery_timeboxed",issue_classified,true,qg-s1-module-readiness.md,General recovery protocol gate,Run recovery protocol workflow,QG-F1,"2,4",facade-mismatch-recovery,validate-module,software recovery patterns {date};incident recovery SaaS {date},BAM
QG-S3,Security Baseline Gate,security-baseline,3-solutioning,"security_controls_implemented,vulnerability_scanning_active,access_controls_configured,encryption_enabled,logging_configured","security_controls_implemented,encryption_enabled",true,qg-s3-security-baseline.md,All security baseline controls pass,Run security-baseline workflow,QG-F1,"2,4",create-master-architecture,bmad-bam-security-baseline-config,security baseline SaaS {date};cloud security controls {date},BAM
QG-S4,AI Security Gate,ai-security,5-quality,"prompt_injection_tested,adversarial_detection_active,output_filtering_verified,kill_switch_tested,model_extraction_prevented","prompt_injection_tested,output_filtering_verified,kill_switch_tested",true,qg-s4-ai-security.md,All AI security tests pass,Run ai-security-audit workflow,QG-S3,"1,3",bmad-bam-agent-runtime-architecture,bmad-bam-ai-security,AI security testing {date};prompt injection defense {date},BAM
QG-S5,Continuous Security Gate,continuous-security,6-operations,"compliance_automation_active,threat_monitoring_active,dlp_controls_verified,anomaly_detection_active,incident_automation_ready","compliance_automation_active,threat_monitoring_active",true,qg-security-continuous.md,All monitoring systems operational,Run continuous-security-setup workflow,"QG-S3,QG-S4",N/A,bmad-bam-security-baseline-config,bmad-bam-production-readiness,continuous security monitoring {date};security operations automation {date},BAM
QG-S6,Compliance Verification Gate,compliance-verification,5-quality,"framework_requirements_mapped,evidence_collection_automated,compliance_score_above_threshold,audit_readiness_verified","framework_requirements_mapped,compliance_score_above_threshold",true,qg-compliance-continuous.md,Compliance score >= 90% for all frameworks,Run compliance-verification workflow,QG-S3,"2,3",bmad-bam-tenant-model-isolation,bmad-bam-production-readiness,compliance automation SaaS {date};audit readiness {date},BAM
QG-S7,Data Protection Gate,data-protection,5-quality,"classification_implemented,dlp_policies_active,encryption_verified,access_logging_active,retention_enforced","classification_implemented,encryption_verified,access_logging_active",true,qg-m2-tenant-isolation.md,All data protection controls operational,Run data-protection-audit workflow,QG-S3,"2,4",bmad-bam-tenant-model-isolation,bmad-bam-continuous-security-setup,data protection controls {date};DLP SaaS architecture {date},BAM
QG-S8,Threat Detection Gate,threat-detection,6-operations,"threat_feeds_integrated,correlation_rules_active,hunting_capability_ready,ai_threat_detection_active","threat_feeds_integrated,correlation_rules_active",true,qg-security-continuous.md,Threat detection coverage >= 80%,Run threat-monitoring-setup workflow,QG-S3,"2,3",bmad-bam-security-operations,bmad-bam-continuous-security-setup,threat detection SaaS {date};threat intelligence integration {date},BAM
QG-S9,Incident Response Gate,incident-response,6-operations,"playbooks_documented,automation_tested,notification_workflows_ready,recovery_procedures_verified,forensics_capability_ready","playbooks_documented,automation_tested",true,qg-incident-response.md,All critical playbooks tested and operational,Run incident-response-setup workflow,QG-S5,"1,3",bmad-bam-security-operations,bmad-bam-production-readiness,incident response automation {date};SOAR implementation {date},BAM
QG-S10,Penetration Testing Gate,penetration-testing,5-quality,"scope_defined,testing_completed,findings_remediated,retest_passed,report_delivered","testing_completed,findings_remediated",true,qg-security-audit.md,No critical/high findings open,Run penetration-testing workflow,QG-S4,N/A,bmad-bam-ai-security,bmad-bam-production-readiness,penetration testing methodology {date};multi-tenant pentest {date},BAM
QG-PD1,Post-Deployment Verification,post-production,6-operations,"smoke_tests_pass,monitoring_active,tenant_health_verified,rollback_ready","smoke_tests_pass,monitoring_active,tenant_health_verified",true,qg-post-deployment.md,All smoke tests pass;Monitoring active;No tenant impact;30-min observation clean,Execute rollback if triggers activated,QG-P1,N/A,bmad-bam-production-readiness,bmad-bam-production-readiness,post-deployment verification SaaS {date};deployment smoke testing {date},BAM
QG-IR1,Incident Response,operations,6-operations,"incident_classified,response_initiated,investigation_complete,mitigation_executed,resolution_verified,postmortem_scheduled","incident_classified,response_initiated,mitigation_executed,resolution_verified",true,qg-incident-response.md,Service restored;Root cause identified;Postmortem scheduled;Action items documented,Escalate per escalation matrix,QG-PD1,N/A,bmad-bam-incident-response-operations,bmad-bam-postmortem-process,incident response SaaS {date};incident management best practices {date},BAM
